"ï..date","class","focuses","uf"
"2020/08","Floresta","249","rondonia"
"2019/12","Outros","6","rondonia"
"2020/03","Outros","2","rondonia"
"2020/07","Outros","38","rondonia"
"2020/09","Desmatamento Recente","2494","rondonia"
"2019/12","Floresta","1","rondonia"
"2020/05","Desmatamento Consolidado","33","rondonia"
"2020/04","Desmatamento Consolidado","14","rondonia"
"2020/03","Floresta","1","rondonia"
"2020/12","Desmatamento Recente","50","rondonia"
"2019/08","Outros","211","rondonia"
"2020/09","Floresta","215","rondonia"
"2020/05","Outros","5","rondonia"
"2020/03","Desmatamento Recente","5","rondonia"
"2019/12","Desmatamento Consolidado","33","rondonia"
"2020/06","Floresta","2","rondonia"
"2020/08","Outros","170","rondonia"
"2020/09","Outros","208","rondonia"
"2019/11","Outros","11","rondonia"
"2019/12","Desmatamento Recente","25","rondonia"
"2020/05","Outros","9","para"
"2020/06","Desmatamento Recente","98","para"
"2020/11","Desmatamento Consolidado","1991","para"
"2019/09","Desmatamento Recente","1596","para"
"2020/06","Desmatamento Consolidado","352","para"
"2020/12","Outros","65","para"
"2020/06","Floresta","7","para"
"2020/11","Desmatamento Recente","789","para"
"2020/06","Outros","34","para"
"2019/09","Desmatamento Consolidado","2265","para"
"2019/08","Outros","441","para"
"2020/07","Outros","97","para"
"2020/11","Floresta","82","para"
"2019/09","Outros","405","para"
"2019/10","Outros","195","para"
"2020/05","Desmatamento Consolidado","66","para"
"2020/07","Floresta","162","para"
"2020/11","Outros","108","para"
"2019/10","Floresta","166","para"
"2020/05","Desmatamento Recente","12","para"
"2020/05","Floresta","1","para"
"2020/07","Desmatamento Recente","1000","para"
"2019/10","Desmatamento Recente","1612","para"
"2020/12","Desmatamento Consolidado","1429","para"
"2020/10","Desmatamento Consolidado","3979","para"
"2019/10","Desmatamento Consolidado","1897","para"
"2020/04","Desmatamento Consolidado","32","para"
"2020/02","Floresta","2","para"
"2020/10","Desmatamento Recente","3172","para"
"2020/12","Floresta","62","para"
"2019/11","Outros","206","para"
"2020/04","Outros","6","para"
"2020/07","Desmatamento Consolidado","1428","para"
"2020/10","Floresta","463","para"
"2019/11","Floresta","272","para"
"2020/03","Desmatamento Consolidado","46","para"
"2020/03","Desmatamento Recente","9","para"
"2020/10","Outros","438","para"
"2020/08","Outros","342","para"
"2019/11","Desmatamento Recente","2849","para"
"2020/03","Floresta","2","para"
"2019/08","Desmatamento Consolidado","4308","para"
"2019/09","Floresta","352","para"
"2020/09","Desmatamento Consolidado","4943","para"
"2019/11","Desmatamento Consolidado","4063","para"
"2020/03","Outros","6","para"
"2020/02","Desmatamento Consolidado","45","para"
"2019/08","Floresta","655","para"
"2019/12","Outros","98","para"
"2020/08","Floresta","754","para"
"2020/09","Desmatamento Recente","3977","para"
"2019/12","Floresta","54","para"
"2020/02","Desmatamento Recente","9","para"
"2020/02","Outros","8","para"
"2020/09","Floresta","1131","para"
"2019/12","Desmatamento Recente","495","para"
"2020/08","Desmatamento Recente","6085","para"
"2020/01","Desmatamento Consolidado","172","para"
"2020/12","Desmatamento Recente","628","para"
"2019/08","Desmatamento Recente","4781","para"
"2019/12","Desmatamento Consolidado","1098","para"
"2020/01","Desmatamento Recente","40","para"
"2020/09","Outros","825","para"
"2020/01","Outros","9","para"
"2020/08","Desmatamento Consolidado","3684","para"
"2020/01","Floresta","4","para"
"2020/09","Floresta","1886","mato grosso"
"2020/10","Floresta","326","mato grosso"
"2020/01","Outros","34","mato grosso"
"2019/12","Desmatamento Consolidado","175","mato grosso"
"2019/11","Outros","56","mato grosso"
"2020/09","Outros","754","mato grosso"
"2019/08","Desmatamento Recente","2620","mato grosso"
"2019/10","Floresta","22","mato grosso"
"2019/09","Desmatamento Consolidado","1894","mato grosso"
"2019/09","Outros","474","mato grosso"
"2019/12","Desmatamento Recente","101","mato grosso"
"2020/08","Desmatamento Consolidado","1076","mato grosso"
"2020/10","Desmatamento Recente","780","mato grosso"
"2019/10","Desmatamento Consolidado","580","mato grosso"
"2020/11","Outros","95","mato grosso"
"2019/10","Desmatamento Recente","335","mato grosso"
"2019/12","Floresta","6","mato grosso"
"2020/11","Desmatamento Consolidado","522","mato grosso"
"2019/12","Outros","41","mato grosso"
"2020/09","Desmatamento Recente","2745","mato grosso"
"2020/12","Floresta","8","mato grosso"
"2020/11","Floresta","74","mato grosso"
"2019/09","Floresta","727","mato grosso"
"2020/09","Desmatamento Consolidado","3081","mato grosso"
"2019/10","Outros","93","mato grosso"
"2019/11","Desmatamento Recente","167","mato grosso"
"2020/11","Desmatamento Recente","266","mato grosso"
"2019/08","Desmatamento Consolidado","1715","mato grosso"
"2020/10","Outros","235","mato grosso"
"2019/09","Desmatamento Recente","2070","mato grosso"
