date;class;focuses;uf
2019/11;Desmatamento Consolidado;121;RONDONIA
2020/06;Desmatamento Consolidado;88;RONDONIA
2020/07;Floresta;35;RONDONIA
2020/09;Desmatamento Consolidado;1281;RONDONIA
2020/08;Floresta;249;RONDONIA
2019/12;Outros;6;RONDONIA
2020/03;Outros;2;RONDONIA
2020/07;Outros;38;RONDONIA
2020/09;Desmatamento Recente;2494;RONDONIA
2019/12;Floresta;1;RONDONIA
2020/05;Desmatamento Consolidado;33;RONDONIA
2020/04;Desmatamento Consolidado;14;RONDONIA
2020/03;Floresta;1;RONDONIA
2020/12;Desmatamento Recente;50;RONDONIA
2019/08;Outros;211;RONDONIA
2020/09;Floresta;215;RONDONIA
2020/05;Outros;5;RONDONIA
2020/03;Desmatamento Recente;5;RONDONIA
2019/12;Desmatamento Consolidado;33;RONDONIA
2020/06;Floresta;2;RONDONIA
2020/08;Outros;170;RONDONIA
2020/09;Outros;208;RONDONIA
2019/11;Outros;11;RONDONIA
2019/12;Desmatamento Recente;25;RONDONIA
2020/05;Outros;9;PARA
2020/06;Desmatamento Recente;98;PARA
2020/11;Desmatamento Consolidado;1991;PARA
2019/09;Desmatamento Recente;1596;PARA
2020/06;Desmatamento Consolidado;352;PARA
2020/12;Outros;65;PARA
2020/06;Floresta;7;PARA
2020/11;Desmatamento Recente;789;PARA
2020/06;Outros;34;PARA
2019/09;Desmatamento Consolidado;2265;PARA
2019/08;Outros;441;PARA
2020/07;Outros;97;PARA
2020/11;Floresta;82;PARA
2019/09;Outros;405;PARA
2019/10;Outros;195;PARA
2020/05;Desmatamento Consolidado;66;PARA
2020/07;Floresta;162;PARA
2020/11;Outros;108;PARA
2019/10;Floresta;166;PARA
2020/05;Desmatamento Recente;12;PARA
2020/05;Floresta;1;PARA
2020/07;Desmatamento Recente;1000;PARA
2019/10;Desmatamento Recente;1612;PARA
2020/12;Desmatamento Consolidado;1429;PARA
2020/10;Desmatamento Consolidado;3979;PARA
2019/10;Desmatamento Consolidado;1897;PARA
2020/04;Desmatamento Consolidado;32;PARA
2020/02;Floresta;2;PARA
2020/10;Desmatamento Recente;3172;PARA
2020/12;Floresta;62;PARA
2019/11;Outros;206;PARA
2020/04;Outros;6;PARA
2020/07;Desmatamento Consolidado;1428;PARA
2020/10;Floresta;463;PARA
2019/11;Floresta;272;PARA
2020/03;Desmatamento Consolidado;46;PARA
2020/03;Desmatamento Recente;9;PARA
2020/10;Outros;438;PARA
2020/08;Outros;342;PARA
2019/11;Desmatamento Recente;2849;PARA
2020/03;Floresta;2;PARA
2019/08;Desmatamento Consolidado;4308;PARA
2019/09;Floresta;352;PARA
2020/09;Desmatamento Consolidado;4943;PARA
2019/11;Desmatamento Consolidado;4063;PARA
2020/03;Outros;6;PARA
2020/02;Desmatamento Consolidado;45;PARA
2019/08;Floresta;655;PARA
2019/12;Outros;98;PARA
2020/08;Floresta;754;PARA
2020/09;Desmatamento Recente;3977;PARA
2019/12;Floresta;54;PARA
2020/02;Desmatamento Recente;9;PARA
2020/02;Outros;8;PARA
2020/09;Floresta;1131;PARA
2019/12;Desmatamento Recente;495;PARA
2020/08;Desmatamento Recente;6085;PARA
2020/01;Desmatamento Consolidado;172;PARA
2020/12;Desmatamento Recente;628;PARA
2019/08;Desmatamento Recente;4781;PARA
2019/12;Desmatamento Consolidado;1098;PARA
2020/01;Desmatamento Recente;40;PARA
2020/09;Outros;825;PARA
2020/01;Outros;9;PARA
2020/08;Desmatamento Consolidado;3684;PARA
2020/01;Floresta;4;PARA
2020/09;Floresta;1886;MATO GROSSO
2020/10;Floresta;326;MATO GROSSO
2020/01;Outros;34;MATO GROSSO
2019/12;Desmatamento Consolidado;175;MATO GROSSO
2019/11;Outros;56;MATO GROSSO
2020/09;Outros;754;MATO GROSSO
2019/08;Desmatamento Recente;2620;MATO GROSSO
2019/10;Floresta;22;MATO GROSSO
2019/09;Desmatamento Consolidado;1894;MATO GROSSO
2019/09;Outros;474;MATO GROSSO
2019/12;Desmatamento Recente;101;MATO GROSSO
2020/08;Desmatamento Consolidado;1076;MATO GROSSO
2020/10;Desmatamento Recente;780;MATO GROSSO
2019/10;Desmatamento Consolidado;580;MATO GROSSO
2020/11;Outros;95;MATO GROSSO
2019/10;Desmatamento Recente;335;MATO GROSSO
2019/12;Floresta;6;MATO GROSSO
2020/11;Desmatamento Consolidado;522;MATO GROSSO
2019/12;Outros;41;MATO GROSSO
2020/09;Desmatamento Recente;2745;MATO GROSSO
2020/12;Floresta;8;MATO GROSSO
2020/11;Floresta;74;MATO GROSSO
2019/09;Floresta;727;MATO GROSSO
2020/09;Desmatamento Consolidado;3081;MATO GROSSO
2019/10;Outros;93;MATO GROSSO
2019/11;Desmatamento Recente;167;MATO GROSSO
2020/11;Desmatamento Recente;266;MATO GROSSO
2019/08;Desmatamento Consolidado;1715;MATO GROSSO
2020/10;Outros;235;MATO GROSSO
2019/09;Desmatamento Recente;2070;MATO GROSSO
2019/11;Floresta;16;MATO GROSSO
2020/10;Desmatamento Consolidado;1130;MATO GROSSO
2020/12;Outros;15;MATO GROSSO
2019/11;Desmatamento Consolidado;445;MATO GROSSO
2020/01;Desmatamento Recente;69;MATO GROSSO
2020/01;Desmatamento Consolidado;285;MATO GROSSO
2020/12;Desmatamento Recente;136;MATO GROSSO
2020/08;Desmatamento Recente;1639;MATO GROSSO
2020/02;Outros;36;MATO GROSSO
2019/08;Floresta;403;MATO GROSSO
2020/02;Floresta;1;MATO GROSSO
2020/08;Floresta;404;MATO GROSSO
2020/02;Desmatamento Recente;33;MATO GROSSO
2020/02;Desmatamento Consolidado;458;MATO GROSSO
2020/08;Outros;217;MATO GROSSO
2020/03;Floresta;2;MATO GROSSO
2020/03;Desmatamento Recente;45;MATO GROSSO
2020/03;Desmatamento Consolidado;665;MATO GROSSO
2020/07;Desmatamento Consolidado;345;MATO GROSSO
2020/04;Outros;50;MATO GROSSO
2020/04;Floresta;2;MATO GROSSO
2020/04;Desmatamento Recente;78;MATO GROSSO
2020/04;Desmatamento Consolidado;405;MATO GROSSO
2020/07;Desmatamento Recente;402;MATO GROSSO
2020/12;Desmatamento Consolidado;198;MATO GROSSO
2020/03;Outros;50;MATO GROSSO
2020/05;Outros;59;MATO GROSSO
2020/05;Floresta;17;MATO GROSSO
2020/05;Desmatamento Recente;229;MATO GROSSO
2020/07;Floresta;62;MATO GROSSO
2019/08;Outros;385;MATO GROSSO
2020/05;Desmatamento Consolidado;287;MATO GROSSO
2020/07;Outros;141;MATO GROSSO
2020/06;Outros;109;MATO GROSSO
2020/06;Floresta;87;MATO GROSSO
2020/06;Desmatamento Consolidado;555;MATO GROSSO
2020/06;Desmatamento Recente;552;MATO GROSSO
2020/01;Floresta;3;MATO GROSSO
2020/04;Desmatamento Consolidado;1;MARANHAO
2020/10;Desmatamento Consolidado;586;MARANHAO
2020/10;Outros;67;MARANHAO
2020/06;Desmatamento Recente;28;MARANHAO
2020/11;Desmatamento Recente;88;MARANHAO
2019/11;Desmatamento Recente;170;MARANHAO
2020/06;Desmatamento Consolidado;49;MARANHAO
2019/08;Desmatamento Consolidado;168;MARANHAO
2019/11;Outros;70;MARANHAO
2020/10;Floresta;33;MARANHAO
2020/09;Desmatamento Consolidado;321;MARANHAO
2020/06;Outros;9;MARANHAO
2019/09;Desmatamento Consolidado;207;MARANHAO
2019/11;Desmatamento Consolidado;1480;MARANHAO
2020/07;Outros;9;MARANHAO
2020/09;Desmatamento Recente;40;MARANHAO
2019/09;Desmatamento Recente;12;MARANHAO
2019/08;Outros;12;MARANHAO
2020/05;Desmatamento Consolidado;14;MARANHAO
2019/12;Outros;54;MARANHAO
2020/11;Floresta;3;MARANHAO
2020/05;Desmatamento Recente;4;MARANHAO
2020/07;Floresta;4;MARANHAO
2020/12;Desmatamento Recente;49;MARANHAO
2019/12;Floresta;3;MARANHAO
2019/10;Outros;41;MARANHAO
2020/09;Floresta;15;MARANHAO
2020/12;Outros;14;MARANHAO
2020/07;Desmatamento Recente;34;MARANHAO
2019/12;Desmatamento Recente;72;MARANHAO
2019/10;Desmatamento Consolidado;705;MARANHAO
2020/11;Outros;46;MARANHAO
2020/09;Outros;45;MARANHAO
2019/11;Floresta;18;MARANHAO
2020/10;Desmatamento Recente;69;MARANHAO
2019/12;Desmatamento Consolidado;711;MARANHAO
2020/07;Desmatamento Consolidado;195;MARANHAO
2020/01;Outros;3;MARANHAO
2019/09;Floresta;20;MARANHAO
2020/11;Desmatamento Consolidado;1098;MARANHAO
2020/12;Floresta;3;MARANHAO
2019/10;Floresta;18;MARANHAO
2020/03;Desmatamento Recente;1;MARANHAO
2020/08;Desmatamento Consolidado;248;MARANHAO
2019/09;Outros;52;MARANHAO
2020/08;Outros;13;MARANHAO
2020/01;Desmatamento Consolidado;12;MARANHAO
2020/12;Desmatamento Consolidado;427;MARANHAO
2020/08;Desmatamento Recente;51;MARANHAO
2020/02;Desmatamento Consolidado;7;MARANHAO
2019/08;Desmatamento Recente;13;MARANHAO
2019/10;Desmatamento Recente;97;MARANHAO
2020/08;Floresta;3;MARANHAO
2020/01;Outros;12;AMAZONAS
2020/12;Floresta;10;AMAZONAS
2020/06;Outros;17;AMAZONAS
2020/02;Floresta;16;AMAZONAS
2020/07;Desmatamento Recente;1088;AMAZONAS
2020/02;Desmatamento Recente;27;AMAZONAS
2020/04;Desmatamento Consolidado;9;AMAZONAS
2020/06;Floresta;14;AMAZONAS
2020/02;Desmatamento Consolidado;28;AMAZONAS
2019/10;Desmatamento Consolidado;269;AMAZONAS
2020/06;Desmatamento Consolidado;78;AMAZONAS
2020/11;Desmatamento Consolidado;172;AMAZONAS
2020/08;Outros;246;AMAZONAS
2020/05;Outros;1;AMAZONAS
2020/06;Desmatamento Recente;13;AMAZONAS
2019/09;Floresta;281;AMAZONAS
2020/03;Outros;11;AMAZONAS
2020/03;Floresta;11;AMAZONAS
2020/07;Floresta;226;AMAZONAS
2020/05;Desmatamento Consolidado;9;AMAZONAS
2020/03;Desmatamento Recente;15;AMAZONAS
2020/07;Desmatamento Consolidado;775;AMAZONAS
2019/08;Floresta;539;AMAZONAS
2019/11;Outros;31;AMAZONAS
2020/10;Desmatamento Recente;574;AMAZONAS
2020/04;Floresta;1;AMAZONAS
2020/04;Desmatamento Recente;2;AMAZONAS
2020/07;Outros;30;AMAZONAS
2020/08;Floresta;908;AMAZONAS
2019/08;Desmatamento Recente;3779;AMAZONAS
2019/10;Desmatamento Recente;214;AMAZONAS
2020/02;Outros;2;AMAZONAS
2020/03;Desmatamento Consolidado;40;AMAZONAS
2020/01;Desmatamento Consolidado;104;AMAZONAS
2020/08;Desmatamento Recente;4492;AMAZONAS
2020/10;Desmatamento Consolidado;526;AMAZONAS
2019/09;Outros;81;AMAZONAS
2020/01;Desmatamento Recente;60;AMAZONAS
2020/01;Floresta;21;AMAZONAS
2020/08;Desmatamento Consolidado;2384;AMAZONAS
2019/10;Floresta;49;AMAZONAS
2020/12;Desmatamento Consolidado;94;AMAZONAS
2019/12;Desmatamento Consolidado;78;AMAZONAS
2020/09;Outros;108;AMAZONAS
2020/11;Outros;19;AMAZONAS
2019/12;Desmatamento Recente;62;AMAZONAS
2019/12;Floresta;16;AMAZONAS
2020/09;Floresta;475;AMAZONAS
2020/12;Outros;10;AMAZONAS
2019/12;Outros;7;AMAZONAS
2019/09;Desmatamento Consolidado;1081;AMAZONAS
2020/09;Desmatamento Recente;2149;AMAZONAS
2019/10;Outros;16;AMAZONAS
2020/11;Floresta;34;AMAZONAS
2020/12;Desmatamento Recente;61;AMAZONAS
2019/11;Desmatamento Consolidado;292;AMAZONAS
2019/08;Desmatamento Consolidado;2252;AMAZONAS
2020/09;Desmatamento Consolidado;1538;AMAZONAS
2019/08;Outros;98;AMAZONAS
2019/11;Desmatamento Recente;203;AMAZONAS
2019/09;Desmatamento Recente;1583;AMAZONAS
2019/11;Floresta;47;AMAZONAS
2020/10;Outros;45;AMAZONAS
2020/11;Desmatamento Recente;149;AMAZONAS
2020/05;Desmatamento Recente;5;AMAZONAS
2020/10;Floresta;120;AMAZONAS
2019/12;Floresta;8;AMAPA
2020/07;Desmatamento Consolidado;1;AMAPA
2020/06;Outros;3;AMAPA
2020/10;Floresta;66;AMAPA
2020/07;Outros;1;AMAPA
2020/12;Desmatamento Consolidado;24;AMAPA
2019/09;Floresta;2;AMAPA
2019/10;Desmatamento Consolidado;145;AMAPA
