ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,ANTONIO EDUARDO MARTINS,PSL,1717,1859
2014,MG,BELO HORIZONTE,ANTONIO FERREIRA PINTO,PT,1305,51
2014,MG,BELO HORIZONTE,ANTONIO JOSE DA SILVA,PTC,3656,10
2014,MG,BELO HORIZONTE,ANTONIO JOSE DE SOUZA BRITO,PDT,1251,17
2014,MG,BELO HORIZONTE,ANTONIO JULIO CRESTON DE VASCONCELLOS,PT do B,7014,94
2014,MG,BELO HORIZONTE,ANTONIO MEDINA OLIVEIRA SILVA,PTB,1410,282
2014,MG,BELO HORIZONTE,ANTONIO OLIBONI,PSC,2020,3895
2014,MG,BELO HORIZONTE,ANTONIO PINHEIRO JUNIOR,PP,1122,10534
2014,MG,BELO HORIZONTE,ARIADNA BORGES MUNIZ,PRB,1000,2626
2014,MG,BELO HORIZONTE,ARIOVALDO DE MELO FILHO,PT do B,7080,90
2014,MG,BELO HORIZONTE,ARISTOTELES ALEXANDRE BATISTA FERREIRA,PPS,2311,185
2014,MG,BELO HORIZONTE,ATILAS MEDEIROS LOPES,PDT,1200,1563
2014,MG,BELO HORIZONTE,AUGUSTA LIMA ROCHA,PT,1317,256
2014,MG,BELO HORIZONTE,AUREA CANDIDA DOS SANTOS,PDT,1224,304
2014,MG,BELO HORIZONTE,AURELIO JOAQUIM DA SILVA,PHS,3140,1853
2014,MG,BELO HORIZONTE,BARTOLOMEU MAXIMO DE FIGUEIREDO,PSOL,5028,104
2014,MG,BELO HORIZONTE,BONIFACIO JOSE TAMM DE ANDRADA,PSDB,4566,3901
2014,MG,BELO HORIZONTE,BRENO DE CASTRO ALVES CARONE,PMDB,1522,446
2014,MG,BELO HORIZONTE,BRUNA CARLA DOS SANTOS,PDT,1204,402
2014,MG,BELO HORIZONTE,BRUNIELE FERREIRA DA SILVA,PTC,3645,2266
2014,MG,BELO HORIZONTE,BRUNO BORGES MAGELLA,PMDB,1566,306
2014,MG,BELO HORIZONTE,CACILDA MARIA CARVALHO DA CRUZ,PMDB,1505,727
2014,MG,BELO HORIZONTE,CAIO NARCIO RODRIGUES DA SILVEIRA,PSDB,4520,9775
2014,MG,BELO HORIZONTE,CARINE MARTINS VIEIRA,PSTU,1688,79
2014,MG,BELO HORIZONTE,CARLA CRISTINA CARVALHO SANTOS,PSD,5520,20
2014,MG,BELO HORIZONTE,CARLOS ALBERTO ALVES,PEN,5113,215
2014,MG,BELO HORIZONTE,CARLOS ANTONIO VIEIRA,PT,1390,221
