"","Var1","Var2","Freq"
"1","DEM","2014",2.24719101123596
"2","PC do B","2014",0.642054574638844
"3","PCB","2014",1.60513643659711
"4","PCO","2014",0.160513643659711
"5","PDT","2014",6.74157303370786
"6","PEN","2014",1.4446227929374
"7","PHS","2014",2.56821829855538
"8","PMDB","2014",4.3338683788122
"9","PMN","2014",2.8892455858748
"10","PP","2014",1.4446227929374
"11","PPL","2014",1.76565008025682
"12","PPS","2014",3.37078651685393
"13","PR","2014",1.12359550561798
"14","PRB","2014",1.92616372391653
"15","PROS","2014",0.963081861958266
"16","PRP","2014",1.12359550561798
"17","PRTB","2014",0.963081861958266
"18","PSB","2014",8.6677367576244
"19","PSC","2014",3.21027287319422
"20","PSD","2014",2.24719101123596
"21","PSDB","2014",4.65489566613162
"22","PSDC","2014",1.12359550561798
"23","PSL","2014",4.17335473515249
"24","PSOL","2014",2.40770465489567
"25","PSTU","2014",3.37078651685393
"26","PT","2014",5.7784911717496
"27","PT do B","2014",9.95184590690209
"28","PTB","2014",3.53130016051364
"29","PTC","2014",5.61797752808989
"30","PTN","2014",3.53130016051364
"31","PV","2014",4.01284109149278
"32","SD","2014",1.92616372391653
"33","UFMG","2014",0.481540930979133
